City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,yellowknife,62.456,-114.3525,-9.71,92,100,4.12,CA,Wed Jan 31 19:45:21 2024
1,ushuaia,-54.8,-68.3,7.81,81,0,4.63,AR,Wed Jan 31 19:45:22 2024
2,grytviken,-54.2811,-36.5092,5.02,66,80,3.92,GS,Wed Jan 31 19:45:22 2024
3,yerofey pavlovich,53.9667,121.9667,-15.79,65,29,1.58,RU,Wed Jan 31 19:45:22 2024
4,waitangi,-43.9535,-176.5597,18.79,98,100,0.45,NZ,Wed Jan 31 19:45:22 2024
5,adamstown,-25.066,-130.1015,24.96,81,7,6.56,PN,Wed Jan 31 19:45:22 2024
6,trancas,-26.2314,-65.2803,24.35,66,99,1.28,AR,Wed Jan 31 19:45:22 2024
7,puerto deseado,-47.7503,-65.8938,14.57,88,58,4.71,AR,Wed Jan 31 19:45:22 2024
8,petropavlovsk-kamchatsky,53.0452,158.6483,-10.67,62,75,2.68,RU,Wed Jan 31 19:45:22 2024
9,bardai,11.65,7.2333,16.78,23,1,5.78,NG,Wed Jan 31 19:45:23 2024
10,port-aux-francais,-49.35,70.2167,5.17,84,97,4.42,TF,Wed Jan 31 19:45:23 2024
11,saipan,15.1355,145.701,29.39,58,40,9.26,MP,Wed Jan 31 19:45:23 2024
12,olonkinbyen,70.9221,-8.7187,-6.65,63,82,10.88,SJ,Wed Jan 31 19:45:23 2024
13,bredasdorp,-34.5322,20.0403,20.53,83,22,3.54,ZA,Wed Jan 31 19:45:23 2024
14,invercargill,-46.4,168.35,15.57,65,100,3.13,NZ,Wed Jan 31 19:45:23 2024
15,puerto natales,-51.7236,-72.4875,8.37,84,99,1.35,CL,Wed Jan 31 19:45:23 2024
16,remire-montjoly,4.9167,-52.2667,27.02,78,20,2.57,GF,Wed Jan 31 19:45:24 2024
17,hawaiian paradise park,19.5933,-154.9731,24.73,81,100,1.54,US,Wed Jan 31 19:45:24 2024
18,atafu village,-8.5421,-172.5159,28.72,74,68,2.96,TK,Wed Jan 31 19:45:24 2024
19,kijang,35.2442,129.2139,7.85,82,100,5.93,KR,Wed Jan 31 19:45:24 2024
